x,y,z
25.41646168,156.7760502,0
49.87101447,94.22577047,0
100.582523,177.1183904,0
55.31625158,147.8477616,0
80.97042865,127.6636424,0
93.47155239,159.5913612,0
70.29803263,105.184575,0
75.10629066,121.7831611,0
83.50231012,62.24283578,0
91.13121096,127.3532821,0
52.52949724,97.75606202,0
127.4791114,111.1193968,0
115.8054342,86.8123643,0
573.0379757,157.0343838,1
538.1655992,171.0370673,1
576.5730166,167.0643057,1
526.6125638,134.688771,1
534.7318397,126.5567515,1
563.3661814,155.8064172,1
573.5999596,194.4547672,1
556.6117795,255.5079948,1
544.9598588,182.3783692,1
552.6603242,241.883222,1
514.2165663,210.8451354,1
542.3157647,232.4319078,1
546.7885058,225.7571508,1
580.5919517,228.1473324,1
574.9647611,191.6204786,1
584.7745292,202.6683284,1
604.7863515,181.319684,1
598.5099203,208.653733,1
623.7320111,201.3109719,1
623.7419327,153.8633989,1
595.3973564,170.6593376,1
621.9865771,126.4784273,1
602.6859734,51.91134031,1
605.1994938,108.9974477,1
579.1589384,115.3230717,1
615.4102469,117.8369673,1
571.1371568,87.93801448,1
581.9493145,111.2659926,1
560.0151285,121.6681173,1
591.940535,151.6454961,1
512.3746936,177.2883352,1
538.1850514,169.2028741,1
553.7705904,148.3059481,1
542.9135679,188.5498523,1
574.0524953,199.1471743,1
617.2942318,178.4611057,1
595.9163933,146.3889994,1
644.3505189,204.2812251,1
601.5643071,165.6204378,1
703.447651,85.16696917,1
629.6367949,121.1262587,1
660.7710396,166.8779193,1
644.0378528,102.3911669,1
653.5664317,98.85216533,1
669.4390429,35.38399097,1
671.068436,76.35527258,1
607.9947183,94.52057326,1
589.3390365,128.9553096,1
559.1774356,86.82206756,1
578.2381349,143.970891,1
537.4461515,147.473804,1
554.4434587,182.4297925,1
540.2048911,162.790177,1
578.7437572,230.745456,1
611.4711758,226.944813,1
547.9047596,215.7878244,1
590.8887454,203.5507423,1
603.2614541,219.2709184,1
573.2797958,208.7408394,1
627.8838283,210.494289,1
636.983725,172.1499622,1
625.9305709,181.1726109,1
600.5455394,166.1248296,1
646.4115074,135.9805866,1
610.3902556,176.0696888,1
596.5831304,132.5754569,1
594.3898338,151.9972199,1
590.8274749,168.7782897,1
570.7500185,131.6952404,1
578.4192621,133.3810164,1
562.2285215,191.3865411,1
532.8796453,170.1457671,1
545.3977913,153.8152026,1
564.4781222,172.446411,1
587.062714,190.9141613,1
578.8127226,172.5400927,1
554.7373829,138.8684413,1
632.081651,157.37445,1
603.7720504,214.4609921,1
582.1562057,185.5021531,1
633.024597,218.3905816,1
578.869667,155.8773859,1
594.4497655,179.9680137,1
635.1791893,159.5332116,1
602.9639937,108.5789135,1
613.5402637,148.1052596,1
656.1468923,125.8470642,1
600.6454833,122.6730409,1
614.8371177,117.3179664,1
610.9588795,157.0241219,1
632.0994082,174.7447994,1
637.279444,154.9919786,1
590.5987358,180.2896777,1
583.3557574,108.8958944,1
634.9965873,159.7313751,1
593.659558,151.2557704,1
646.2606938,170.5355005,1
632.5337606,144.1170035,1
588.7459314,171.5271011,1
601.3518689,108.9914039,1
607.7681159,117.2230326,1
602.5393149,149.5337267,1
574.3195818,171.1795706,1
585.4970059,193.9811897,1
578.3343698,204.4417666,1
556.7859671,178.9495642,1
546.5725439,199.3431365,1
540.0718633,182.0771568,1
573.839233,180.1789846,1
621.4807333,212.7748975,1
612.9985251,234.704524,1
563.2376205,212.9834137,1
615.9371443,193.6434855,1
596.9471213,205.992183,1
575.546734,199.2782957,1
612.3447504,181.2759891,1
659.7187612,227.1799533,1
622.2837508,202.5660845,1
626.6853392,208.1018371,1
660.207424,178.1726921,1
640.443234,193.1347185,1
648.707603,180.2522839,1
644.4714897,172.0706748,1
648.6869332,175.4180594,1
616.9921073,173.3446614,1
661.9111631,174.608515,1
667.674653,169.2872914,1
546.6727935,187.7144945,1
641.1754903,200.1289015,1
632.1123243,171.5398756,1
629.3263202,162.2621362,1
650.9837127,144.4280612,1
637.492891,164.001985,1
655.3994745,141.2351485,1
575.0538835,152.4160392,1
591.8460217,168.16521,1
610.9566476,121.6068577,1
685.1613973,175.094586,1
590.6766826,135.0269204,1
639.8430857,109.2209666,1
625.0452932,185.9714532,1
654.9296471,92.63143057,1
617.3685416,133.8902135,1
631.3927619,121.3436779,1
621.0400884,186.4747874,1
599.3846073,150.8940518,1
672.3079155,153.0641133,1
593.5046976,170.3541251,1
605.5186044,131.3580083,1
609.4319527,122.903301,1
593.8184353,116.2814756,1
600.2378817,113.9745381,1
647.3424329,86.07195005,1
57.5636162,472.2706543,2
42.28103984,483.9416577,2
72.35049444,445.623535,2
63.87509773,494.5663727,2
28.45213741,509.8073788,2
78.5085145,490.466683,2
94.6143,516.6157999,2
137.6754913,447.1395799,2
74.70569554,518.3918953,2
20.11802867,477.0906665,2
83.19522685,501.0627293,2
54.22490327,469.373118,2
90.24478333,437.6636308,2
128.8664906,443.8435944,2
59.26617483,433.1544939,2
48.85085104,487.1145279,2
58.2624764,497.8335952,2
46.6027088,463.543434,2
84.70110194,432.9167818,2
42.80110464,434.6416231,2
63.22324518,441.9075797,2
38.39072602,464.1202691,2
1.381533459,457.5190861,2
29.32949047,457.5283688,2
50.47677042,499.0733151,2
47.49592223,445.2922309,2
9.831979029,442.1797699,2
87.51508975,495.0917784,2
52.88678372,421.5939982,2
60.17572047,510.74395,2
